Time, XRP(Price), Cash, Market Value, Shares,
425272, 0.17830268, 538.4905016558365, 602.0328921532099, 3376.46575, 
425343, 0.17830268, 538.4905016558365, 602.0328921532099, 3376.46575, 
425414, 0.17830268, 538.4905016558365, 602.0328921532099, 3376.46575, 
425485, 0.17830268, 538.4905016558365, 602.0328921532099, 3376.46575, 
425556, 0.17830268, 538.4905016558365, 602.0328921532099, 3376.46575, 
425627, 0.17830268, 538.4905016558365, 602.0328921532099, 3376.46575, 
425699, 0.17830268, 538.4905016558365, 602.0328921532099, 3376.46575, 
425770, 0.17830268, 538.4905016558365, 602.0328921532099, 3376.46575, 
425841, 0.17830268, 538.4905016558365, 602.0328921532099, 3376.46575, 
425912, 0.17830268, 538.4905016558365, 602.0328921532099, 3376.46575, 
425983, 0.17830268, 538.4905016558365, 602.0328921532099, 3376.46575, 
426053, 0.17830268, 538.4905016558365, 602.0328921532099, 3376.46575, 
426124, 0.17830268, 538.4905016558365, 602.0328921532099, 3376.46575, 
26279, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
26349, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
26420, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
26490, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
26561, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
26632, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
26702, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
26773, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
26843, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
26914, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
26985, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
27056, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
27126, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
27197, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
27267, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
27338, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
27408, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
27479, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
27550, 0.1898695, 538.4905016558365, 641.0878637196249, 3376.46575, 
